Data, Media
10/2000,2.519676454545455
11/2000,2.3448993333333337
12/2000,1.5262094
01/2000,0.81279175
02/2000,1.0105255999999998
03/2000,1.715748086956522
04/2000,1.601805526315789
05/2000,1.8391919545454543
06/2000,2.6315565000000003
07/2000,2.4346730499999993
08/2000,2.703844782608695
09/2000,2.8263777000000005
10/2001,2.971095391304347
11/2001,3.930530571428571
12/2001,4.87744865
01/2001,1.7828470476190477
02/2001,1.9063628421052632
03/2001,2.216949272727273
04/2001,2.74739155
05/2001,3.335957181818182
06/2001,3.5443900952380947
07/2001,3.010553
08/2001,3.2805516956521736
09/2001,2.4911123999999996
10/2002,0.7234058260869566
11/2002,1.0998453500000003
12/2002,1.0287252380952379
01/2002,5.018916571428572
02/2002,4.404780263157894
03/2002,3.9997431999999997
04/2002,2.936791590909091
05/2002,2.695374363636364
06/2002,2.04069165
07/2002,1.348225681818182
08/2002,0.7913469999999999
09/2002,0.7261593000000001
10/2003,1.304529956521739
11/2003,1.5454530526315788
12/2003,1.6297750454545457
01/2003,0.8721649047619047
02/2003,0.8717587894736841
03/2003,1.0172954285714284
04/2003,1.0489641428571428
05/2003,1.5252333333333332
06/2003,1.8664550476190478
07/2003,1.7100736818181816
08/2003,1.3694011428571429
09/2003,1.4230195238095238
10/2004,1.09745
11/2004,1.3748975714285716
12/2004,1.725883181818182
01/2004,1.83575095
02/2004,1.7583639473684212
03/2004,1.7280179565217388
04/2004,1.8463620000000003
05/2004,1.6555010500000003
06/2004,1.5965060952380954
07/2004,1.2321332380952381
08/2004,0.923904
09/2004,1.061777142857143
10/2005,2.4941884761904762
11/2005,2.704949285714286
12/2005,2.807053571428572
01/2005,1.67541425
02/2005,2.0088918421052626
03/2005,1.9636521818181814
04/2005,1.717793857142857
05/2005,1.8977233809523808
06/2005,2.098675863636364
07/2005,2.07734525
08/2005,2.2153845217391304
09/2005,2.4856705238095236
10/2006,4.902146181818182
11/2006,5.391916857142856
12/2006,5.643319399999999
01/2006,3.2871140000000003
02/2006,3.4645858947368415
03/2006,3.863570434782608
04/2006,4.507775684210526
05/2006,4.114517545454546
06/2006,3.253365136363637
07/2006,2.9927745000000003
08/2006,3.916149173913044
09/2006,4.47865115
10/2007,8.431103217391305
11/2007,7.504078333333332
12/2007,7.8836393000000005
01/2007,5.064578
02/2007,5.015148631578947
03/2007,4.519450454545455
04/2007,4.73771255
05/2007,5.204577545454544
06/2007,5.94222538095238
07/2007,6.877800571428571
08/2007,7.021881826086956
09/2007,7.930761157894735
10/2008,1.784850652173913
11/2008,1.7123377368421056
12/2008,1.8224084999999997
01/2008,6.116221761904761
02/2008,5.41735735
03/2008,4.454993
04/2008,4.4749751818181815
05/2008,5.250244
06/2008,4.907566857142857
07/2008,2.8013159090909094
08/2008,2.843090761904762
09/2008,2.499539428571428
10/2009,3.0831779090909093
11/2009,2.9849013999999996
12/2009,3.746449545454546
01/2009,1.84790535
02/2009,1.9222309473684214
03/2009,2.1535752727272723
04/2009,2.5817687619047627
05/2009,2.3044926
06/2009,2.5491618636363635
07/2009,2.6780012272727274
08/2009,3.1128213809523815
09/2009,3.4942660476190484
10/2010,2.605465809523809
11/2010,2.9846173333333335
12/2010,3.380258409090909
01/2010,3.997265
02/2010,3.8156149999999998
03/2010,3.971918217391304
04/2010,3.8840101428571425
05/2010,3.1204325500000003
06/2010,2.662886363636364
07/2010,2.3722090476190476
08/2010,2.1731721363636365
09/2010,2.479882904761905
10/2011,3.3363590000000003
11/2011,3.348589761904762
12/2011,3.288200714285714
01/2011,4.982441400000001
02/2011,5.467241631578947
03/2011,4.330364260869565
04/2011,4.199294500000001
05/2011,4.318746047619047
06/2011,3.852773409090909
07/2011,3.3678750000000006
08/2011,2.9964874782608697
09/2011,3.2215871904761895
10/2012,2.9158196666666663
11/2012,2.783332333333333
12/2012,2.8406331999999996
01/2012,3.3044663499999998
02/2012,3.62850335
03/2012,3.3924544090909095
04/2012,3.1945047500000006
05/2012,2.8847067272727274
06/2012,2.8818578571428572
07/2012,2.9960836190476194
08/2012,3.284639652173913
09/2012,3.0950501052631583
10/2013,3.6259556086956515
11/2013,3.6347708499999998
12/2013,3.666760238095238
01/2013,2.8528605714285713
02/2013,2.8747483684210517
03/2013,2.938060650000001
04/2013,2.977179454545455
05/2013,3.335982909090909
06/2013,3.34089665
07/2013,3.3471771363636362
08/2013,3.461277590909091
09/2013,3.64216675
10/2014,4.313935869565217
11/2014,4.822011000000001
12/2014,4.902962045454545
01/2014,3.731000857142857
02/2014,4.087934
03/2014,4.316889333333333
04/2014,4.408382476190477
05/2014,4.3759645238095235
06/2014,4.523208714285714
07/2014,4.419625409090909
08/2014,4.4792009523809515
09/2014,4.587272142857143
10/2015,6.579901454545456
11/2015,7.403690250000001
12/2015,8.04289781818182
01/2015,4.76439885
02/2015,5.152142263157896
03/2015,5.402183818181819
04/2015,5.3328281904761905
05/2015,5.18785375
06/2015,5.196526045454546
07/2015,4.801669318181818
08/2015,5.390335857142857
09/2015,5.573282047619049
10/2016,16.76821276190476
11/2016,20.428525666666665
12/2016,24.54952009523809
01/2016,7.135001421052634
02/2016,6.98574595
03/2016,8.16160272727273
04/2016,8.880801714285715
05/2016,9.914027904761907
06/2016,11.487795681818183
07/2016,12.95741965
08/2016,14.85249382608696
09/2016,15.638826809523813
10/2017,47.60898081818181
11/2017,52.01164480952381
12/2017,47.764621999999996
01/2017,26.008117350000003
02/2017,27.229835157894733
03/2017,25.620122652173908
04/2017,24.953273684210522
05/2017,30.909948590909096
06/2017,37.34693072727273
07/2017,39.3739672
08/2017,40.84604126086956
09/2017,43.066717249999996
10/2018,59.47843778260869
11/2018,44.906063857142854
12/2018,35.63435968421053
01/2018,56.28321490476192
02/2018,58.56081868421054
03/2018,59.61266952380953
04/2018,55.928658809523824
05/2018,60.99711518181818
06/2018,63.518027142857136
07/2018,61.58637709523809
08/2018,64.60224360869566
09/2018,67.37916157894738
10/2019,47.44396526086956
11/2019,52.41415165000001
12/2019,55.94174161904762
01/2019,35.96520385714286
02/2019,37.99796757894737
03/2019,41.546975666666675
04/2019,46.46737719047619
05/2019,39.72138186363637
06/2019,37.205423150000016
07/2019,41.75796440909091
08/2019,39.8725664090909
09/2019,44.10789240000001
10/2020,135.24627304545453
11/2020,133.44270855
12/2020,131.94019804545454
01/2020,60.96212519047619
02/2020,67.4704472105263
03/2020,60.68461163636364
04/2020,69.01763961904763
05/2020,81.56450675
06/2020,90.88872977272727
07/2020,101.96994231818184
08/2020,119.40480614285714
09/2020,127.39867795238095
10/2021,220.76236838095238
11/2021,303.41529933333334
12/2021,298.8810147272727
01/2021,132.57351999999997
02/2021,142.44502336842103
03/2021,128.49839656521738
04/2021,149.81009995238097
05/2021,146.59540475000003
06/2021,181.86222904545457
07/2021,196.12504719047618
08/2021,206.76685327272727
09/2021,219.02649223809524
10/2022,124.60506666666667
11/2022,153.02352833333336
12/2022,162.04478090476192
01/2022,257.3354897
02/2022,245.93871815789475
03/2022,248.2031343043478
04/2022,219.33161394999993
05/2022,177.68261866666668
06/2022,169.97210476190475
07/2022,163.13370059999997
08/2022,177.4373699565217
09/2022,131.64019885714285
10/2023,436.2929895000001
11/2023,475.2506800952381
12/2023,480.6783949999999
01/2023,172.64829095
02/2023,220.31821642105263
03/2023,250.9869451304348
04/2023,271.4061069473684
05/2023,310.4676929545455
06/2023,409.121970047619
07/2023,447.52877975
08/2023,452.4412815652175
09/2023,443.179245
01/2024,562.5655168571428
02/2024,725.4704682
03/2024,894.42156985
04/2024,856.0888909999999
